kindnr	leeftijd	groep	sekse	item1	item2	item3	item4	item5	item6	item7	item8
9	8	4	NA	1	2	2	1	1	2	4	4
146	10	7	NA	1	3	1	1	1	2	4	3
62	11	7	NA	1	2	4	1	2	1	4	1
12	6	3	1	3	4	1	1	1	4	1	NA
79	6	3	1	1	1	1	1	1	1	4	1
101	6	3	1	1	3	1	3	3	3	4	3
17	7	3	1	1	2	1	1	1	4	4	3
84	7	3	1	1	2	2	1	2	2	4	2
40	7	4	1	1	2	1	2	1	1	4	2
74	7	4	1	1	3	1	1	1	1	4	4
83	7	4	1	4	1	4	1	1	1	4	3
2	8	4	1	1	2	1	1	1	1	4	4
8	8	4	1	4	2	4	2	1	3	1	3
10	8	4	1	1	1	1	1	1	1	4	4
13	8	4	1	1	2	2	2	2	2	1	3
14	8	4	NA	4	1	1	1	1	1	4	4
16	8	4	1	1	1	4	1	1	1	1	4
18	8	4	1	1	2	2	1	1	2	4	4
19	8	4	1	1	3	2	2	1	2	4	2
24	8	4	1	1	1	2	1	2	1	4	1
27	8	4	1	3	3	3	1	1	3	4	3
32	8	4	1	4	1	1	1	1	1	4	4
43	8	4	1	1	2	2	1	1	1	4	2
45	8	4	1	2	2	3	2	2	1	4	3
56	8	4	1	2	3	2	1	1	4	4	4
59	8	4	1	2	1	4	3	4	3	3	3
66	8	4	1	1	1	1	1	1	2	4	4
69	8	4	1	1	1	1	1	1	1	4	1
71	8	4	1	1	1	3	1	2	1	4	3
75	8	4	1	3	2	3	3	3	1	4	4
76	8	4	1	1	1	2	1	1	1	1	4
82	8	4	1	1	1	1	1	1	1	4	3
85	8	4	1	1	2	1	2	1	2	4	3
88	8	4	1	1	1	2	1	1	1	4	4
90	8	4	1	1	1	4	1	3	1	2	2
105	8	4	1	1	1	1	1	1	1	4	4
110	8	4	1	1	2	3	1	3	3	4	3
114	8	4	1	1	2	4	2	2	2	1	2
119	8	4	1	1	2	1	1	1	2	4	4
4	9	4	1	3	2	3	2	3	1	2	3
15	9	4	1	1	1	3	2	3	1	4	4
25	9	4	1	1	4	1	1	1	2	1	4
36	9	4	1	2	3	1	1	4	1	4	4
70	9	4	1	2	3	4	1	1	1	4	4
97	9	4	1	1	2	4	1	1	4	4	4
176	9	4	1	4	1	1	1	4	4	1	4
92	10	7	1	1	2	2	2	1	2	4	3
128	10	7	1	3	3	1	2	2	1	4	4
130	10	7	1	4	1	1	1	1	1	1	4
144	10	7	1	1	2	2	1	2	2	4	3
149	10	7	1	1	3	1	1	1	1	4	3
166	10	7	1	1	4	1	1	1	1	1	4
197	10	7	1	3	3	3	3	3	3	2	1
53	11	7	1	4	1	1	1	1	1	4	4
58	11	7	1	3	3	4	1	1	3	1	3
93	11	7	1	1	2	2	2	2	2	4	3
98	11	7	1	1	1	3	1	3	2	4	3
104	11	7	1	1	2	1	1	1	1	1	4
108	11	7	1	1	2	1	2	1	1	1	1
111	11	7	1	1	1	1	1	1	4	4	4
116	11	7	1	1	1	4	4	1	1	4	4
123	11	7	1	1	1	1	1	2	1	4	3
129	11	7	1	1	1	1	1	2	1	4	4
134	11	7	1	1	1	3	1	1	2	1	4
147	11	7	1	1	1	1	1	1	1	4	4
160	11	7	1	3	3	1	2	3	2	4	3
173	11	7	1	2	2	2	1	2	1	4	3
199	11	7	1	1	1	1	1	1	1	4	4
206	11	7	1	1	1	1	1	1	1	4	4
140	12	7	1	4	1	1	3	1	3	1	3
193	12	7	1	1	1	1	1	1	3	4	3
150	13	7	1	1	1	1	1	1	1	4	4
54	11	8	1	1	1	1	1	1	1	4	3
94	11	8	1	1	2	2	2	1	2	1	3
118	11	8	1	1	3	1	2	1	1	4	3
125	11	8	1	1	1	1	1	1	1	4	4
132	11	8	1	1	3	3	1	1	2	4	3
136	11	8	1	4	2	1	2	1	2	4	4
154	11	8	1	1	1	1	1	1	1	4	4
161	11	8	1	2	2	2	2	2	2	4	2
182	11	8	1	2	2	2	2	2	2	3	3
37	12	8	1	1	2	1	1	1	2	4	3
68	12	8	1	1	2	1	2	1	1	2	2
87	12	8	1	3	3	3	1	1	3	4	1
100	12	8	1	1	2	2	1	2	2	4	2
113	12	8	1	1	1	4	1	1	1	4	4
126	12	8	1	2	3	2	1	4	4	1	3
131	12	8	1	1	2	2	2	3	2	1	2
141	12	8	1	1	2	3	1	1	1	1	3
142	12	8	1	1	1	1	1	1	1	4	4
155	12	8	1	1	3	2	3	1	3	4	4
157	12	8	1	3	3	3	3	2	3	1	2
163	12	8	1	4	2	3	1	2	1	4	2
168	12	8	1	2	2	2	2	2	2	3	3
169	12	8	1	1	2	1	1	1	1	1	4
174	12	8	1	3	1	1	1	1	1	1	4
181	12	8	1	2	2	2	2	1	2	4	4
186	12	8	1	1	1	3	1	3	1	4	3
187	12	8	1	1	2	1	1	1	1	4	3
191	12	8	1	1	1	1	1	1	1	4	4
194	12	8	1	2	2	1	2	1	2	3	4
202	12	8	1	1	2	2	2	1	2	4	3
208	12	8	1	1	1	1	1	1	1	4	4
209	12	8	1	3	3	2	3	3	3	4	3
210	12	8	1	3	1	3	3	2	2	2	3
122	13	8	1	1	1	1	1	1	1	4	4
137	13	8	1	1	1	2	1	1	1	4	3
171	13	8	1	3	2	3	3	3	2	1	3
22	6	3	2	1	1	1	1	1	1	1	1
1	7	3	2	1	2	2	1	1	1	4	4
7	7	4	2	4	2	1	1	1	1	1	4
55	7	4	2	1	1	1	1	1	2	4	4
63	7	4	2	1	4	1	3	3	3	1	3
64	7	4	2	1	4	3	1	1	2	4	3
80	7	4	2	1	3	1	2	4	4	1	1
89	7	4	2	1	3	1	1	1	3	4	3
115	7	4	2	1	2	1	3	1	2	1	4
180	7	4	2	1	2	4	1	4	1	4	1
196	7	4	2	1	1	3	4	3	4	1	3
3	8	4	2	4	2	1	3	3	3	1	3
5	8	4	2	NA	4	1	4	1	2	4	4
6	8	4	2	1	1	1	1	1	1	4	4
20	8	4	2	1	1	2	2	2	2	1	3
21	8	4	2	1	1	1	1	1	1	4	4
23	8	4	2	1	3	1	1	1	1	1	3
26	8	4	2	3	2	2	2	2	2	1	2
28	8	4	2	2	3	4	3	4	3	1	4
34	8	4	2	4	3	3	2	1	2	4	3
35	8	4	2	4	2	4	2	1	3	4	2
39	8	4	2	1	2	3	3	3	2	1	2
42	8	4	2	1	3	1	1	1	3	4	3
44	8	4	2	1	2	4	1	1	1	4	4
48	8	4	2	3	4	2	4	2	3	3	1
49	8	4	2	1	4	4	3	4	1	4	4
50	8	4	2	4	4	4	4	4	4	1	3
52	8	4	2	1	4	1	3	3	2	4	3
57	8	4	2	2	4	3	2	2	2	4	2
60	8	4	2	1	3	1	1	1	3	4	1
61	8	4	2	1	1	2	4	4	3	1	3
72	8	4	2	1	4	1	1	1	3	4	4
73	8	4	2	1	3	2	2	1	1	4	4
86	8	4	2	3	3	1	1	1	1	1	4
95	8	4	2	1	1	1	1	1	1	1	4
96	8	4	2	1	1	3	2	3	2	3	3
102	8	4	2	1	3	2	3	3	2	4	3
106	8	4	2	1	2	3	1	2	1	2	1
109	8	4	2	4	1	1	1	1	1	1	3
159	8	4	2	4	4	3	4	4	3	1	1
165	8	4	2	4	1	1	1	1	4	4	4
172	8	4	2	4	3	4	4	1	1	1	3
184	8	4	2	4	2	2	1	3	2	4	2
188	8	4	2	1	4	3	4	4	4	1	1
29	9	4	2	3	3	1	3	2	2	1	2
33	9	4	2	4	3	4	2	4	3	4	3
41	9	4	2	4	4	3	1	1	3	1	1
51	9	4	2	3	4	NA	4	2	4	3	1
65	9	4	2	3	2	3	4	3	3	4	4
81	9	4	2	3	2	3	3	3	2	3	1
143	9	4	2	3	3	2	2	2	4	3	3
121	10	7	2	1	1	1	1	1	1	4	4
133	10	7	2	1	2	2	1	1	1	4	4
138	10	7	2	4	3	3	2	NA	2	2	3
151	10	7	2	1	1	2	1	1	1	4	4
189	10	7	2	1	1	1	1	1	1	4	4
46	11	7	2	3	3	4	1	2	1	4	1
67	11	7	2	3	2	1	1	1	2	1	3
91	11	7	2	1	2	3	2	3	3	1	2
103	11	7	2	1	4	1	3	3	3	4	2
107	11	7	2	2	4	3	4	3	3	3	2
112	11	7	2	1	2	4	2	3	1	4	2
117	11	7	2	3	1	1	2	1	1	1	4
120	11	7	2	4	2	2	1	1	2	4	3
124	11	7	2	1	1	1	1	1	1	1	4
127	11	7	2	2	3	2	1	1	3	4	3
139	11	7	2	1	3	3	1	1	3	4	3
145	11	7	2	1	2	2	2	3	3	3	3
153	11	7	2	2	1	1	2	1	1	3	4
162	11	7	2	3	4	2	3	3	3	2	2
177	11	7	2	3	4	4	3	2	2	3	4
77	12	7	2	2	3	1	1	NA	NA	NA	NA
99	12	7	2	1	1	3	1	1	1	3	3
156	12	7	2	1	1	2	1	2	1	1	3
167	12	7	2	1	1	3	1	1	1	4	4
170	12	7	2	3	2	3	2	2	2	4	3
201	12	7	2	1	3	4	2	3	1	4	2
30	8	8	2	3	1	1	1	1	1	3	4
31	11	8	2	1	2	1	1	3	3	3	3
47	11	8	2	1	3	1	1	1	2	4	4
